policy = 1
core 0: 2.5670 IPC
core 0: 3.5120 IPC
core 0: 1.4164 IPC
core 0: 3.3156 IPC
core 0: 3.7107 IPC
core 0: 0.8223 IPC
core 0: 3.3249 IPC
core 0: 3.6515 IPC
core 0: 2.2944 IPC
core 0: 3.2827 IPC
core 0: 3.6418 IPC
core 0: 2.5964 IPC
core 0: 3.9140 IPC
core 0: 1.1876 IPC
core 0: 2.8117 IPC
core 0: 3.6260 IPC
core 0: 3.9771 IPC
core 0: 3.2322 IPC
core 0: 1.5843 IPC
core 0: 1.9186 IPC
core 0: 3.4427 IPC
core 0: 3.6863 IPC
core 0: 2.5438 IPC
core 0: 2.3606 IPC
core 0: 3.0823 IPC
core 0: 1.4984 IPC
core 0: 0.4775 IPC
